,0
1071,John Rickford
1072,John Scott
1073,John Ziegler
1074,Johnnatan Messias
1075,Jon Kleinberg
1076,Jon Mcphetres
1077,Jonas Klaff
1078,Jonas L. Juul
1079,Jonas Paul Schöne
1080,Jonas Stein
1081,Jonathan Külz
1082,Jonathan Mijs
1083,Jonathan Morgan
1084,Jonathan Zong
1085,Jonghyun Lee
1086,Jorge Martínez Caamaño
1087,Jorge Rudas
1088,Jorge Victorino
1089,Joris Broere
1090,Jos Lemmink
1091,Jose Balsa-Barreiro
1092,Jose Carlock
1093,Jose Halloy
1094,Jose Sosa
1095,Joselina Davyt
1096,Josep Perello
1097,Joseph Bak-Coleman
1098,Joseph Gendreau
1099,Joseph Hoover
1100,Joseph O’Brien
1101,Joseph Williams
1102,Josh Pasek
1103,Joshua Anderson
1104,Joshua Becker
1105,Joshua Blumenstock
1106,Joshua Introne
1107,Joshua Minot
1108,Joshua Plotkin
1109,Joshua Tucker
1110,José-Ignacio Alvarez-Hamelin
1111,Joyce Delnoij
1112,Ju-Sung (Jay) Lee
1113,Ju-sung Lee
1114,Juan C. Losada
1115,Juan Chen
1116,Juan Losada
1117,Juan Salamanca
1118,Juan Serrano
1119,Juanjuan Zhang
1120,Judith Kas
1121,Juhi Kulshrestha
1122,Juho Pääkkönen
1123,Jule Scheper
1124,Julia Atienza-barthelemy
1125,Julia Barnett
1126,Julia Galantai
1127,Julia Koltai
1128,Julia Mendelsohn
1129,Julia Minson
1130,Julian Berger
1131,Julian Kohne
1132,Julian Vicens
1133,Julian Winkler
1134,Julie Jiang
1135,Julio Linares
1136,Junbum Lee
1137,Junjie Wu
1138,Junming Huang
1139,Junzhe Tang
1140,Jure Leskovec
1141,Justin Cheng
1142,Justin Chun-Ting Ho
1143,Justin Ho
1144,Justin Reich
1145,Justus Uitermark
1146,Jutta Bopp
1147,János Kertész
1148,Júlia Koltai
1149,Jürgen Jost
1150,K. Hunter Wapman
1151,Kai-Cheng Yang
1152,Kaicheng Yang
1153,Kami Vaniea
1154,Kangsan Lee
1155,Kanyao Han
1156,Kara L. Johnson
1157,Karandeep Singh
1158,Karen White
1159,Karim Lakhani
1160,Karl Aberer
1161,Karoline Wiesner
1162,Karoly Bozsonyi
1163,Karoly Takacs
1164,Kartiki Maheshwari
1165,Karunakar Reddy Mannem
1166,Kasper Welbers
1167,Katerina Guba
1168,Katharina Tittel
1169,Katherine Carroll
1170,Katherine Haenschen
1171,Katherine O'Toole
1172,Katherine Pham
1173,Kathleen Carley
1174,Kathleen M. Carley
1175,Kathryn Cramer
1176,Katia Nakamura
1177,Katie Roehrick
1178,Katie Spoon
1179,Katrin Weller
1180,Katsuyuki Arii
1181,Kaustav Basu
1182,Kayla De la Haye
1183,Kayla Haye
1184,Kayla de la Haye
1185,Kazuhiro Ueda
1186,Kazutoshi Sasahara
1187,Keeley Erhardt
1188,Keenan Jones
1189,Kehan Li
1190,Keigo Kusumegi
1191,Kelsey Edmond
1192,Kelsey Linnell
1193,Ken Benoit
1194,Kenji Itao
1195,Kenneth Joseph
1196,Kenneth Wapman
1197,Keran Rong
